Id,Tech meta type,Filename,Filesize,Title,Date archived,Description,Pid,Created at,Updated at,Transcription text,Desc metadata,Discoverability,Md5,Date dl ingest,Date dl update,Dpla,Creator death date,Creation date,Primary author
1223591,image,000033215_0013.tif,26439638,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552364,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,e9b54506de3c06191982668b7e219a26,,,FALSE,,,
1223592,image,000033215_0014.tif,27068338,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552365,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,0c4db360ec141145d1aab04fd0cfb523,,,FALSE,,,
1223593,image,000033215_0015.tif,26869048,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552366,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,bf9737a3e81ef6ba23557a97a9523e10,,,FALSE,,,
1223594,image,000033215_0016.tif,28032558,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552367,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,be3c17f1f08859fab53802f1b06741cf,,,FALSE,,,
1223595,image,000033215_0017.tif,25475720,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552368,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,0d509ff1ef3ebb7b556fb06d90407684,,,FALSE,,,
1223596,image,000033215_0018.tif,25519560,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552369,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,e8558df7d0ec6716948304f4cd0a08f2,,,FALSE,,,
1223597,image,000033215_0019.tif,24733538,"""Dames at Sea"" Drama-also-Drama Opening",10/20/2015 12:46,1974-02-16 | 740031,uva-lib:2552370,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,36a3336e6af407afbf10701eab5665f8,,,FALSE,,,
1223598,image,000033215_0020.tif,26885660,Conference for Prospective Women Engineers,10/20/2015 12:46,1974-02-18 | 740032,uva-lib:2552371,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,4105f240148ce77ced0e50cd6439b97e,,,FALSE,,,
1223599,image,000033215_0021.tif,27131610,Conference for Prospective Women Engineers,10/20/2015 12:46,1974-02-18 | 740032,uva-lib:2552372,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,0a7fc7473f308d9f40b0d7e111d6ae34,,,FALSE,,,
1223600,image,000033215_0022.tif,27560078,Conference for Prospective Women Engineers,10/20/2015 12:46,1974-02-18 | 740032,uva-lib:2552373,10/20/2015 12:33,10/20/2015 12:46,,,FALSE,7fa306334b540e6b5030e7e8625c397c,,,FALSE,,,
